"id","step","substep","model","heatpump","tank_number","power","version","bypass","status","created_at"
"031010103031320721252876","9","0","250","Pro",NULL,NULL,"standard","bez bypassu",NULL,"2021-08-04 12:47:00"
"031010103031320721997622","9","0","200 S2","Samsung 3f",NULL,NULL,"standard","bypass","mounted","2021-07-27 08:54:50"
"031010103031320821083579","9","0","250","Gree 10 kW",NULL,NULL,"standard","bypass","mounted","2021-08-17 13:14:56"
"031010103031320821226277","6","0","250","Samsung 1f ",NULL,NULL,"standard","bez bypassu",NULL,"2021-08-16 11:31:27"
"031010103031320821445481","9","0","250","Panasonic",NULL,NULL,"standard","bez bypassu",NULL,"2021-09-02 07:46:11"
"031010103031320821521947","9","0","250","Rotenso",NULL,NULL,"standard","bez bypassu","mounted","2021-10-05 12:40:25"
"031010103031320821590703","9","0","250","Samsung 12 kW",NULL,NULL,"standard","bez bypassu",NULL,"2021-09-17 11:41:00"
"031010103031320821595636","9","0","250","Gree 8 kW",NULL,NULL,"standard","bez bypassu",NULL,"2021-09-13 07:12:28"
"031010103031320821611667","9","0","250","Samsung 5 kW",NULL,NULL,"standard","bez bypassu",NULL,"2021-08-25 08:34:10"
"031010103031320821676669","9","0","250","Samsung Sama Szafa",NULL,NULL,"standard","bez bypassu",NULL,"2021-09-10 12:38:07"
"031010103031320821716473","9","0","250","Panasonic",NULL,NULL,"standard","bez bypassu","mounted","2021-09-16 12:39:00"
"031010103031320821790805","9","0","250","Samsung Sama Szafa",NULL,NULL,"standard","bez bypassu",NULL,"2021-09-21 11:27:03"
"031010103031320821823538","9","0","250","Samsung Sama Szafa",NULL,NULL,"standard","bez bypassu",NULL,"2021-09-27 09:17:03"
"031010103031320821964341","9","0","250 S2","Samsung 3f",NULL,NULL,"standard","bypass","mounted","2021-08-30 08:56:37"
"031010103031321021054601","5","0","200S","Brak",NULL,NULL,"standard","bez bypassu",NULL,"2021-10-25 12:58:33"
"031010103031321021186459","9","0","250","Samsung 12 kW",NULL,NULL,"standard","bez bypassu",NULL,"2021-10-21 07:26:36"
"031010103031321021350770","6","0","250","Samsung",NULL,"Sama Szafa","standard","bez bypassu",NULL,"2021-11-19 09:56:09"
"031010103031321021462056","9","0","250","Panasonic",NULL,NULL,"standard","Bufor",NULL,"2021-10-22 10:33:46"
"031010103031321021708620","3","0",,"Brak",NULL,"Sama Szafa","standard","bez bypassu",NULL,"2021-12-08 09:16:00"
"031010103031321021711130","8","0","250","Pro",NULL,"18 kW","standard","bez bypassu","mounted","2021-10-26 06:47:32"
"031010103031321021807553","9","0","250","Pro",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-24 08:16:16"
"031010103031321021898511","9","0","250","Samsung 8 kW",NULL,NULL,"standard","bez bypassu",NULL,"2021-10-12 10:20:36"
"031010103031321021999783","9","0","250","Pro",NULL,"7 kW","Standard*","według schematu",NULL,"2022-01-18 08:42:00"
"031501000003000222044259","2","2",NULL,NULL,,NULL,NULL,NULL,NULL,"2022-06-08 08:02:11"
"032101 0000 0100 0821 103897","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101 0000 0100 1121 594297","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101 0000 0200 1219 521457","1","2",,,NULL,NULL,,,,"2021-07-19 13:57:53"
"032101000000000421405376","9","0",,,NULL,NULL,,,"mounted",NULL
"032101000000000521612438","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000000000621954243","9","0",,,NULL,NULL,,,"mounted",NULL
"032101000000000621954244","9","0","200S","Samsung",NULL,NULL,"standard","bypass","mounted","2021-06-11 14:26:50"
"032101000000000721007138","9","0","200S","Buderus 8 kW",NULL,NULL,"standard","bypass","mounted","2021-07-06 06:04:12"
"032101000000000721010129","9","0","200S","Izzifast R290",NULL,NULL,"standard","bypass",NULL,"2021-07-29 10:48:22"
"032101000000000721011380","9","0","200S","Samsung 3f",NULL,NULL,"standard","bez bypassu","mounted","2021-07-30 10:36:01"
"032101000000000721068292","9","0","200S","Samsung 3f",NULL,NULL,"standard","bez bypassu",,"2021-07-13 07:30:52"
"032101000000000721154608","9","0","200S","Samsung",NULL,NULL,"standard","bez bypassu",,"2021-07-12 07:32:00"
"032101000000000721229737","9","0","200S","Samsung 1f ",NULL,NULL,"standard","bez bypassu",NULL,"2021-07-29 10:50:19"
"032101000000000721251911","9","0","200S","Samsung",NULL,NULL,"standard","bez bypassu",,"2021-07-09 08:22:25"
"032101000000000721273406","9","0","200S","Samsung",NULL,NULL,"standard","bez bypassu",,"2021-07-09 08:26:01"
"032101000000000721290190","9","0","200S","Samsung 3f",NULL,NULL,"standard","bez bypassu",NULL,"2021-07-23 10:32:58"
"032101000000000721294304","9","0","200S","Baxi Czechy ",NULL,NULL,"ECO","bypass",,"2021-07-05 08:24:18"
"032101000000000721305757","9","0","200S","Ferroli",NULL,NULL,"standard","bypass",,"2021-07-05 07:18:06"
"032101000000000721324329","9","0","200S","Gree 8 kW",NULL,NULL,"ECO","bez bypassu","mounted","2021-07-30 10:33:23"
"032101000000000721337390","9","0","200S","Samsung",NULL,NULL,"standard","bez bypassu",,"2021-07-05 08:28:49"
"032101000000000721435489","9","0","200S","Samsung 1f ",NULL,NULL,"standard","bez bypassu",NULL,"2021-07-23 10:32:01"
"032101000000000721501079","9","0","200S","Buderus 8 kW",NULL,NULL,"standard","bypass",,"2021-07-06 06:06:07"
"032101000000000721502988","9","0","200S","Buderus 6 kW",NULL,NULL,"standard","bypass",,"2021-07-12 09:53:22"
"032101000000000721610775","9","0","200S","Buderus 8 kW",NULL,NULL,"standard","bypass",,"2021-07-06 06:02:00"
"032101000000000721629416","9","0","200S","Rotenso",NULL,NULL,"standard","bez bypassu",NULL,"2021-07-23 10:33:47"
"032101000000000721648463","9","0","200S","Buderus 14 kW",NULL,NULL,"standard","bez bypassu",,"2021-07-08 11:31:29"
"032101000000000721667121","9","0","200S","Buderus 11 kW",NULL,NULL,"standard","bypass",,"2021-07-05 08:35:12"
"032101000000000721685439","9","0","200S","Samsung",NULL,NULL,"standard","bez bypassu",,"2021-07-12 05:39:56"
"032101000000000721780154","9","0","200S","Samsung",NULL,NULL,"standard","bez bypassu",,"2021-07-06 03:48:39"
"032101000000000721784674","9","0","250","Izzifast R290",NULL,NULL,"standard","bypass",,"2021-07-09 05:44:12"
"032101000000000721827140","9","0","200S","Izzifast R290",NULL,NULL,"standard","bypass",,"2021-07-05 08:38:32"
"032101000000000721854495","9","0","200S","Samsung",NULL,NULL,"standard","bez bypassu",,"2021-07-09 08:25:05"
"032101000000000721855007","7","0","200S","Panasonic",NULL,NULL,"standard","bez bypassu",,"2021-07-05 08:32:25"
"032101000000000721867121","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000000000721925283","9","0","200S","Samsung 1f ",NULL,NULL,"standard","bez bypassu",NULL,"2021-07-29 10:52:27"
"032101000000000721998322","9","0","200S","Gree 8 kW",NULL,NULL,"standard","bypass",,"2021-07-06 04:26:22"
"032101000000001221321816","8","0","200S","Baxi Polska",NULL,"Sama Szafa","standard","według schematu",NULL,"2021-12-17 15:43:05"
"032101000001000121738736","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000122015420","9","0","Bufor 200","BUFOR",NULL,"BUFOR","BUFOR","Bufor",NULL,"2022-01-25 09:45:07"
"032101000001000122017026","9","0","200S","Gree",,"8 kW","standard","według schematu","mounted","2022-02-16 14:05:33"
"032101000001000122018486","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-02-16 12:43:45"
"032101000001000122022086","9","0","200S","Rotenso",,"Sama Szafa","standard","bypass",NULL,"2022-03-16 12:59:44"
"032101000001000122028476","9","0","200S","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-03-31 07:53:58"
"032101000001000122031906","9","0","200S","Samsung",NULL,"5 kW","standard","według schematu",NULL,"2022-01-19 11:15:50"
"032101000001000122088813","9","0","200S","Samsung",NULL,"Sama Szafa","ECO","według schematu",NULL,"2022-01-14 09:39:55"
"032101000001000122118736","2","0",NULL,NULL,"030101000100000122493923",NULL,NULL,NULL,NULL,"2022-01-25 10:15:45"
"032101000001000122120835","9","0","200S","Samsung",,"12 kW","standard","według schematu",NULL,"2022-01-27 10:29:51"
"032101000001000122134414","8","0","200S","Rotenso",,"8 kW","standard","bypass",NULL,"2022-01-31 11:44:48"
"032101000001000122174313","9","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","Bufor",NULL,"2022-03-21 14:48:23"
"032101000001000122186574","9","0","200S","Samsung",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-14 13:47:39"
"032101000001000122187764","8","0","200S","GSJ",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-14 12:38:40"
"032101000001000122219173","9","0","200S","Izzifast R290",,"3-12 kW","Standard*","bypass","mounted","2022-02-16 12:37:01"
"032101000001000122229298","9","0","200S","Gree",,"8 kW","standard","według schematu",NULL,"2022-02-07 08:49:20"
"032101000001000122231461","9","0","200S","Rotenso",,"Sama Szafa","standard","bypass",NULL,"2022-03-16 12:58:39"
"032101000001000122245267","8","0","200S","Panasonic",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-21 12:32:07"
"032101000001000122248982","9","0","200S","Panasonic",,"Sama Szafa","standard","według schematu",NULL,"2022-01-26 11:06:45"
"032101000001000122250791","9","0","200S","Heating",,"Sama Szafa","Standard*","według schematu",NULL,"2022-06-10 08:51:23"
"032101000001000122261892","9","0","200S","Pro",,"7 kW","Standard*","według schematu",NULL,"2022-02-24 08:04:04"
"032101000001000122269312","9","0","200S","Rotenso",,"10 kW","standard","według schematu",NULL,"2022-01-27 10:26:44"
"032101000001000122288789","9","0","200S","Samsung",,"8 kW","Standard*","według schematu","mounted","2022-01-31 11:45:54"
"032101000001000122291148","8","0","200S","Rotenso",,"Sama Szafa","standard","według schematu",NULL,"2022-01-28 10:30:02"
"032101000001000122304564","6","0","200S","Panasonic",,"Sama Szafa","standard","bypass",NULL,"2022-07-11 12:53:33"
"032101000001000122307913","9","0","200S","GSJ",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-18 08:30:41"
"032101000001000122325659","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-02-24 08:05:30"
"032101000001000122381326","9","0","200S","Pro",NULL,"7 kW","Standard*","bypass",NULL,"2022-01-21 12:59:17"
"032101000001000122398972","9","0","200S","Pro",,"18 kW","Standard*","bypass",NULL,"2022-02-24 08:06:39"
"032101000001000122419205","9","0","Bufor 200","Brak",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-14 15:04:26"
"032101000001000122451823","9","0","200S","Panasonic",,"Sama Szafa","standard","według schematu",NULL,"2022-01-31 11:43:55"
"032101000001000122467087","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-02-16 12:42:00"
"032101000001000122504618","9","0","200S","Pro",NULL,"18 kW","Standard*","według schematu","mounted","2022-01-21 12:27:24"
"032101000001000122506199","9","0","200S","Rotenso",,"Sama Szafa","standard","bypass",NULL,"2022-03-15 14:24:04"
"032101000001000122523416","9","0","200S","Rotenso",,"Sama Szafa","standard","bypass",NULL,"2022-03-02 12:05:39"
"032101000001000122526064","9","0","200S","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-03-25 10:15:38"
"032101000001000122526621","9","0","Bufor 200","Brak",,"Sama Szafa","standard","Bufor",NULL,"2022-01-28 09:12:39"
"032101000001000122532440","9","0","200S","Pro",,"7 kW","Standard*","bypass","mounted","2022-03-18 09:02:21"
"032101000001000122532683","9","0","200S","Rotenso",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-18 08:37:44"
"032101000001000122532955","9","0","200S","Izzifast R290",,"1-7 kW","Standard*","według schematu",NULL,"2022-01-27 10:29:14"
"032101000001000122559996","3","0","200S","Gree",,"8 kW","standard","według schematu",NULL,"2022-07-06 13:10:15"
"032101000001000122580268","9","0","200 B","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-03-22 09:31:27"
"032101000001000122586586","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-03-01 09:01:15"
"032101000001000122586899","9","0","200S","Samsung",,"5 kW","standard","według schematu",NULL,"2022-01-27 13:40:16"
"032101000001000122589878","9","0","200S","Samsung",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-25 07:44:58"
"032101000001000122600286","9","0","200S","Pro",,"7 kW","Standard*","według schematu","mounted","2022-02-25 09:06:48"
"032101000001000122610955","9","0","200S","Samsung",,"Sama Szafa","ECO","według schematu",NULL,"2022-01-31 14:36:07"
"032101000001000122624120","9","0","200S","Pro",,"18 kW","Standard*","bypass",NULL,"2022-03-18 09:04:43"
"032101000001000122627283","9","0","200S","Pro",,"18 kW","Standard*","według schematu","mounted","2022-02-22 12:05:33"
"032101000001000122645035","9","0","Bufor 200","Brak",,"Sama Szafa","standard","Bufor",NULL,"2022-01-26 11:32:36"
"032101000001000122654007","7","0","200S","Pro","032101000001000122654007","18 kW","Standard*","bypass",NULL,"2022-01-28 10:31:25"
"032101000001000122656200","9","0","200S","Pro",,"7 kW","Standard*","według schematu","mounted","2022-03-18 09:05:35"
"032101000001000122685429","9","0","200S","Panasonic",,"Sama Szafa","standard","według schematu",NULL,"2022-02-16 14:14:08"
"032101000001000122695539","9","0","200S","Samsung",,"12 kW","standard","według schematu",NULL,"2022-01-27 10:28:36"
"032101000001000122770527","9","0","200S","Samsung",NULL,"Sama Szafa","standard","według schematu",NULL,"2022-01-13 11:58:26"
"032101000001000122776124","9","0","200S","Izzifast R290",,"1-7 kW","Standard*","według schematu",NULL,"2022-03-01 08:57:53"
"032101000001000122788010","9","0","200S","Pro",,"18 kW","Standard*","bypass",NULL,"2022-01-25 09:46:43"
"032101000001000122811465","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-02-15 12:02:56"
"032101000001000122815152","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu","mounted","2022-01-27 10:25:14"
"032101000001000122823252","9","0","Bufor 200","Pro",,"BUFOR","BUFOR","Bufor",NULL,"2022-02-23 12:50:08"
"032101000001000122831734","9","0","200S","Pro",,"18 kW","standard","według schematu",NULL,"2022-02-14 07:47:20"
"032101000001000122834660","9","0","200S","Izzifast R290",NULL,"3-12 kW","Standard*","bypass","mounted","2022-01-21 12:32:48"
"032101000001000122835182","9","0","200S","Gree",,"8 kW","standard","według schematu","mounted","2022-02-09 09:25:05"
"032101000001000122859724","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu","mounted","2022-01-27 10:25:58"
"032101000001000122877246","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-02-02 15:00:58"
"032101000001000122887881","9","0","200S","Samsung",NULL,"Sama Szafa","standard","według schematu","mounted","2022-01-24 11:33:13"
"032101000001000122892898","9","0","200S","Samsung",,"8 kW","standard","według schematu",NULL,"2022-07-14 07:20:46"
"032101000001000122894409","9","0","200S","Buderus",,"Sama Szafa","Standard*","według schematu",NULL,"2022-03-23 15:13:40"
"032101000001000122897086","9","0","200S","Pro",,"7 kW","Standard*","według schematu",NULL,"2022-03-21 12:47:05"
"032101000001000122910850","9","0","200S","Gree",,"8 kW","standard","według schematu",NULL,"2022-02-02 14:19:34"
"032101000001000122927790","8","0","200S","Izzifast R290",,"12 kW","standard","według schematu",NULL,"2022-02-04 09:45:22"
"032101000001000122948437","9","0","200S","Rotenso",,"6 kW","standard","według schematu",NULL,"2022-01-28 11:13:14"
"032101000001000122955257","9","0","200S","Pro",,"7 kW","Standard*","według schematu","mounted","2022-03-10 09:56:14"
"032101000001000122983141","8","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","Bufor",NULL,"2022-02-09 10:17:53"
"032101000001000122988374","9","0","200S","Pro",,"18 kW","standard","według schematu",NULL,"2022-02-17 08:14:02"
"032101000001000222008539","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222013268","9","0","200S","Haier",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 10:27:10"
"032101000001000222015296","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222020005","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:11:09"
"032101000001000222042930","8","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","Bufor",NULL,"2022-02-02 07:45:00"
"032101000001000222043467","9","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","Bufor",NULL,"2022-02-14 10:33:50"
"032101000001000222043890","9","0","200S","Ricom",,"Sama Szafa","standard","według schematu",NULL,"2022-03-23 12:05:03"
"032101000001000222044259","3","0",,,," "," "," ",NULL,"2022-03-04 11:04:28"
"032101000001000222099621","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:11:57"
"032101000001000222105677","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222122402","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 11:07:39"
"032101000001000222122588","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222132102","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:09:26"
"032101000001000222141292","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222144901","8","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","według schematu",NULL,"2022-02-02 07:59:29"
"032101000001000222174047","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:12:40"
"032101000001000222177279","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222185348","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222185885","9","0","200S","Midea / Kaisai / Netsu",,"Sama Szafa","standard","według schematu","mounted","2022-02-14 10:24:01"
"032101000001000222203539","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222257885","9","0","200S","Midea / Kaisai / Netsu",,"Sama Szafa","standard","bypass",NULL,"2022-02-14 10:22:47"
"032101000001000222259535","8","0","200S","SOLGEN",,"Sama Szafa","ECO*","według schematu",NULL,"2022-02-02 07:35:06"
"032101000001000222259972","9","0","200S","Rotenso",,"Sama Szafa","standard","według schematu",NULL,"2022-02-21 12:49:37"
"032101000001000222260673","9","0","200S","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-04-15 10:35:22"
"032101000001000222260848","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:19:24"
"032101000001000222311366","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:19:31"
"032101000001000222311631","9","0","200S","LG",,"Sama Szafa","standard","bypass","mounted","2022-02-03 11:04:19"
"032101000001000222321506","9","0","200S","Panasonic",,"Sama Szafa","standard","według schematu",NULL,"2022-03-09 10:34:06"
"032101000001000222339821","9","0","200S","Pro",,"18 kW","Standard*","według schematu","mounted","2022-02-14 10:34:53"
"032101000001000222350911","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:18:20"
"032101000001000222378925","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222379825","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:17:59"
"032101000001000222391270","8","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","według schematu",NULL,"2022-02-02 07:58:48"
"032101000001000222399298","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:13:17"
"032101000001000222416968","9","0","200S","LG",,"Sama Szafa","standard","według schematu",NULL,"2022-03-01 10:02:22"
"032101000001000222432337","9","0",NULL,NULL,NULL,NULL,NULL,NULL,,NULL
"032101000001000222448613","9","0","200S","LG",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 10:29:32"
"032101000001000222496522","8","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","Bufor",NULL,"2022-02-02 07:46:48"
"032101000001000222502038","9","0","200S","Samsung",,"12 kW","Standard*","według schematu","mounted","2022-04-20 12:08:46"
"032101000001000222519200","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222529527","8","0","200S","Pro",,"7 kW","Standard*","bypass","mounted","2022-02-02 12:05:14"
"032101000001000222531261","8","0","200S","SOLGEN",,"Sama Szafa","Standard*","według schematu","mounted","2022-02-02 07:53:33"
"032101000001000222533292","9","0","200S","Rotenso",,"Sama Szafa","standard","według schematu",NULL,"2022-02-21 12:50:43"
"032101000001000222539360","9","0","200S","Rotenso",,"Sama Szafa","standard","według schematu",NULL,"2022-02-02 12:06:46"
"032101000001000222541935","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:18:31"
"032101000001000222543089","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222550772","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:19:01"
"032101000001000222559493","9","0","200S","Haier",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 10:25:55"
"032101000001000222589546","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:19:15"
"032101000001000222597458","8","0","200S","SOLGEN",,"Sama Szafa","Standard*","według schematu",NULL,"2022-02-02 07:55:33"
"032101000001000222619466","9","0","200S","Samsung",,"Sama Szafa","standard","bypass",NULL,"2022-03-24 13:57:08"
"032101000001000222619680","9","0","200S","Panasonic",,"Sama Szafa","standard","według schematu",NULL,"2022-03-24 08:15:43"
"032101000001000222631088","9","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","Bufor",NULL,"2022-02-25 14:12:53"
"032101000001000222638443","8","0","200S","SOLGEN",,"Sama Szafa","ECO*","według schematu","mounted","2022-02-02 07:36:23"
"032101000001000222641717","8","0","200S","Gree",,"8 kW","standard","według schematu",NULL,"2022-02-02 12:07:36"
"032101000001000222648920","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-02-14 10:44:51"
"032101000001000222655406","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:18:47"
"032101000001000222656881","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:19:08"
"032101000001000222663671","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-21 11:18:12"
"032101000001000222687892","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 11:12:53"
"032101000001000222696360","9","0","200S","Pro",,"18 kW","Standard*","według schematu","mounted","2022-02-25 14:12:08"
"032101000001000222713112","9","0","200S","Ricom",,"Sama Szafa","standard","według schematu",NULL,"2022-03-01 09:15:44"
"032101000001000222718153","9","0","Bufor 200","BUFOR",,"BUFOR","BUFOR","Bufor",NULL,"2022-02-14 10:43:30"
"032101000001000222721264","9","0","200S","Pro",,"18 kW","standard","według schematu","mounted","2022-02-03 12:14:13"
"032101000001000222722599","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:05:03"
"032101000001000222741713","9","0","200S","Pro",,"7 kW","Standard*","według schematu",NULL,"2022-04-15 10:35:16"
"032101000001000222809053","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222810292","9","0","200S","Gree",,"8 kW","standard","według schematu",NULL,"2022-03-21 10:30:29"
"032101000001000222821918","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"032101000001000222834799","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:05:11"
"032101000001000222866905","9","0","200S","Baxi Polska",,"Sama Szafa","standard","według schematu",NULL,"2022-03-04 10:14:02"
"032101000001000222885177","9","0","200S","Gree",,"8 kW","standard","bypass","mounted","2022-02-02 12:08:34"
"032101000001000222898282","9","0","200S","Samsung",,"Sama Szafa","standard","według schematu","mounted","2022-03-04 11:05:54"
"032101000001000222902471","9","0","200S","Rotenso",,"Sama Szafa","standard","według schematu",NULL,"2022-02-21 12:51:39"
"032101000001000222909993","9","0","200S","Ricom",,"Sama Szafa","standard","według schematu",NULL,"2022-03-23 12:05:16"
